# JD          x_km               y_km                z_km      vx_km_s        vy_km_s         vz_km_s
2458517.000 +1.81709682e+09 -5.82231657e+09 -2.28218360e+09 +5.46762000e+00 -1.20955486e+01 -4.68984762e+00
2458517.250 +1.81721492e+09 -5.82257784e+09 -2.28228490e+09 +5.46760111e+00 -1.20954880e+01 -4.68982389e+00
2458517.500 +1.81733302e+09 -5.82283910e+09 -2.28238620e+09 +5.46758222e+00 -1.20954275e+01 -4.68980017e+00
2458517.750 +1.81745112e+09 -5.82310036e+09 -2.28248750e+09 +5.46756332e+00 -1.20953670e+01 -4.68977645e+00
2458518.000 +1.81756922e+09 -5.82336162e+09 -2.28258880e+09 +5.46754443e+00 -1.20953065e+01 -4.68975272e+00
2458518.250 +1.81768731e+09 -5.82362288e+09 -2.28269010e+09 +5.46752554e+00 -1.20952459e+01 -4.68972901e+00
2458518.500 +1.81780541e+09 -5.82388413e+09 -2.28279140e+09 +5.46750666e+00 -1.20951854e+01 -4.68970529e+00
2458518.750 +1.81792351e+09 -5.82414539e+09 -2.28289269e+09 +5.46748774e+00 -1.20951249e+01 -4.68968167e+00
2458519.000 +1.81804161e+09 -5.82440664e+09 -2.28299399e+09 +5.46746886e+00 -1.20950644e+01 -4.68965796e+00
2458519.250 +1.81815971e+09 -5.82466789e+09 -2.28309529e+09 +5.46744997e+00 -1.20950039e+01 -4.68963425e+00
2458519.500 +1.81827780e+09 -5.82492915e+09 -2.28319658e+09 +5.46743109e+00 -1.20949434e+01 -4.68961054e+00
2458519.750 +1.81839590e+09 -5.82519040e+09 -2.28329788e+09 +5.46741221e+00 -1.20948829e+01 -4.68958683e+00
2458520.000 +1.81851399e+09 -5.82545164e+09 -2.28339917e+09 +5.46739333e+00 -1.20948225e+01 -4.68956313e+00
2458520.250 +1.81863209e+09 -5.82571289e+09 -2.28350047e+09 +5.46737445e+00 -1.20947620e+01 -4.68953943e+00
2458520.500 +1.81875019e+09 -5.82597414e+09 -2.28360176e+09 +5.46735558e+00 -1.20947015e+01 -4.68951573e+00
2458520.750 +1.81886828e+09 -5.82623538e+09 -2.28370305e+09 +5.46733670e+00 -1.20946411e+01 -4.68949203e+00
2458521.000 +1.81898637e+09 -5.82649663e+09 -2.28380435e+09 +5.46731783e+00 -1.20945806e+01 -4.68946834e+00
2458521.250 +1.81910447e+09 -5.82675787e+09 -2.28390564e+09 +5.46729895e+00 -1.20945202e+01 -4.68944465e+00
2458521.500 +1.81922256e+09 -5.82701911e+09 -2.28400693e+09 +5.46728008e+00 -1.20944597e+01 -4.68942096e+00
2458521.750 +1.81934065e+09 -5.82728035e+09 -2.28410822e+09 +5.46726121e+00 -1.20943993e+01 -4.68939727e+00
2458522.000 +1.81945875e+09 -5.82754159e+09 -2.28420951e+09 +5.46724234e+00 -1.20943389e+01 -4.68937358e+00
2458522.250 +1.81957684e+09 -5.82780283e+09 -2.28431080e+09 +5.46722348e+00 -1.20942785e+01 -4.68934996e+00
2458522.500 +1.81969493e+09 -5.82806406e+09 -2.28441209e+09 +5.46720462e+00 -1.20942181e+01 -4.68932628e+00
2458522.750 +1.81981302e+09 -5.82832530e+09 -2.28451338e+09 +5.46718575e+00 -1.20941577e+01 -4.68930260e+00
2458523.000 +1.81993111e+09 -5.82858653e+09 -2.28461467e+09 +5.46716689e+00 -1.20940973e+01 -4.68927892e+00
2458523.250 +1.82004920e+09 -5.82884776e+09 -2.28471596e+09 +5.46714803e+00 -1.20940369e+01 -4.68925525e+00
2458523.500 +1.82016729e+09 -5.82910899e+09 -2.28481725e+09 +5.46712917e+00 -1.20939765e+01 -4.68923158e+00
2458523.750 +1.82028538e+09 -5.82937022e+09 -2.28491853e+09 +5.46711031e+00 -1.20939161e+01 -4.68920791e+00
2458524.000 +1.82040347e+09 -5.82963145e+09 -2.28501982e+09 +5.46709146e+00 -1.20938557e+01 -4.68918424e+00
2458524.250 +1.82052156e+09 -5.82989268e+09 -2.28512111e+09 +5.46707260e+00 -1.20937954e+01 -4.68916058e+00
2458524.500 +1.82063965e+09 -5.83015390e+09 -2.28522239e+09 +5.46705375e+00 -1.20937350e+01 -4.68913691e+00
2458524.750 +1.82075774e+09 -5.83041512e+09 -2.28532368e+09 +5.46703489e+00 -1.20936746e+01 -4.68911325e+00
2458525.000 +1.82087583e+09 -5.83067635e+09 -2.28542496e+09 +5.46701604e+00 -1.20936143e+01 -4.68908960e+00
2458525.250 +1.82099391e+09 -5.83093757e+09 -2.28552625e+09 +5.46699719e+00 -1.20935539e+01 -4.68906594e+00
2458525.500 +1.82111200e+09 -5.83119879e+09 -2.28562753e+09 +5.46697834e+00 -1.20934936e+01 -4.68904228e+00
2458525.750 +1.82123009e+09 -5.83146001e+09 -2.28572881e+09 +5.46695950e+00 -1.20934332e+01 -4.68901863e+00
2458526.000 +1.82134817e+09 -5.83172122e+09 -2.28583009e+09 +5.46694065e+00 -1.20933729e+01 -4.68899498e+00
2458526.250 +1.82146626e+09 -5.83198244e+09 -2.28593138e+09 +5.46692181e+00 -1.20933126e+01 -4.68897134e+00
2458526.500 +1.82158435e+09 -5.83224366e+09 -2.28603266e+09 +5.46690296e+00 -1.20932522e+01 -4.68894769e+00
2458526.750 +1.82170243e+09 -5.83250487e+09 -2.28613394e+09 +5.46688412e+00 -1.20931919e+01 -4.68892405e+00
2458527.000 +1.82182051e+09 -5.83276608e+09 -2.28623522e+09 +5.46686528e+00 -1.20931316e+01 -4.68890041e+00
2458527.250 +1.82193860e+09 -5.83302729e+09 -2.28633650e+09 +5.46684644e+00 -1.20930713e+01 -4.68887677e+00
2458527.500 +1.82205668e+09 -5.83328850e+09 -2.28643778e+09 +5.46682760e+00 -1.20930110e+01 -4.68885313e+00
2458527.750 +1.82217477e+09 -5.83354971e+09 -2.28653906e+09 +5.46680877e+00 -1.20929507e+01 -4.68882950e+00
2458528.000 +1.82229285e+09 -5.83381092e+09 -2.28664034e+09 +5.46678993e+00 -1.20928904e+01 -4.68880587e+00
2458528.250 +1.82241093e+09 -5.83407212e+09 -2.28674161e+09 +5.46677110e+00 -1.20928301e+01 -4.68878224e+00
2458528.500 +1.82252901e+09 -5.83433333e+09 -2.28684289e+09 +5.46675227e+00 -1.20927698e+01 -4.68875861e+00
2458528.750 +1.82264709e+09 -5.83459453e+09 -2.28694417e+09 +5.46673344e+00 -1.20927096e+01 -4.68873499e+00
2458529.000 +1.82276518e+09 -5.83485573e+09 -2.28704545e+09 +5.46671461e+00 -1.20926493e+01 -4.68871136e+00
2458529.250 +1.82288326e+09 -5.83511693e+09 -2.28714672e+09 +5.46669578e+00 -1.20925890e+01 -4.68868774e+00
2458529.500 +1.82300134e+09 -5.83537813e+09 -2.28724800e+09 +5.46667696e+00 -1.20925288e+01 -4.68866412e+00
2458529.750 +1.82311942e+09 -5.83563933e+09 -2.28734927e+09 +5.46665813e+00 -1.20924685e+01 -4.68864051e+00
2458530.000 +1.82323750e+09 -5.83590053e+09 -2.28745055e+09 +5.46663931e+00 -1.20924083e+01 -4.68861689e+00
2458530.250 +1.82335558e+09 -5.83616172e+09 -2.28755182e+09 +5.46662048e+00 -1.20923480e+01 -4.68859328e+00
2458530.500 +1.82347365e+09 -5.83642292e+09 -2.28765309e+09 +5.46660166e+00 -1.20922878e+01 -4.68856967e+00
2458530.750 +1.82359173e+09 -5.83668411e+09 -2.28775437e+09 +5.46658285e+00 -1.20922276e+01 -4.68854607e+00
2458531.000 +1.82370981e+09 -5.83694530e+09 -2.28785564e+09 +5.46656404e+00 -1.20921673e+01 -4.68852247e+00
2458531.250 +1.82382789e+09 -5.83720649e+09 -2.28795691e+09 +5.46654523e+00 -1.20921071e+01 -4.68849886e+00
2458531.500 +1.82394597e+09 -5.83746768e+09 -2.28805818e+09 +5.46652642e+00 -1.20920469e+01 -4.68847526e+00
2458531.750 +1.82406404e+09 -5.83772887e+09 -2.28815945e+09 +5.46650761e+00 -1.20919867e+01 -4.68845167e+00
2458532.000 +1.82418212e+09 -5.83799005e+09 -2.28826072e+09 +5.46648880e+00 -1.20919265e+01 -4.68842807e+00
2458532.250 +1.82430019e+09 -5.83825124e+09 -2.28836199e+09 +5.46646998e+00 -1.20918663e+01 -4.68840448e+00
2458532.500 +1.82441827e+09 -5.83851242e+09 -2.28846326e+09 +5.46645117e+00 -1.20918061e+01 -4.68838088e+00
2458532.750 +1.82453635e+09 -5.83877361e+09 -2.28856453e+09 +5.46643236e+00 -1.20917459e+01 -4.68835729e+00
2458533.000 +1.82465442e+09 -5.83903479e+09 -2.28866580e+09 +5.46641355e+00 -1.20916858e+01 -4.68833371e+00
2458533.250 +1.82477249e+09 -5.83929597e+09 -2.28876707e+09 +5.46639474e+00 -1.20916256e+01 -4.68831012e+00
2458533.500 +1.82489057e+09 -5.83955714e+09 -2.28886833e+09 +5.46637593e+00 -1.20915654e+01 -4.68828654e+00
2458533.750 +1.82500864e+09 -5.83981832e+09 -2.28896960e+09 +5.46635713e+00 -1.20915053e+01 -4.68826296e+00
2458534.000 +1.82512672e+09 -5.84007950e+09 -2.28907087e+09 +5.46633832e+00 -1.20914451e+01 -4.68823938e+00
2458534.250 +1.82524479e+09 -5.84034067e+09 -2.28917213e+09 +5.46631952e+00 -1.20913850e+01 -4.68821580e+00
2458534.500 +1.82536286e+09 -5.84060185e+09 -2.28927340e+09 +5.46630072e+00 -1.20913248e+01 -4.68819223e+00
2458534.750 +1.82548093e+09 -5.84086302e+09 -2.28937466e+09 +5.46628191e+00 -1.20912647e+01 -4.68816866e+00
2458535.000 +1.82559900e+09 -5.84112419e+09 -2.28947593e+09 +5.46626312e+00 -1.20912045e+01 -4.68814509e+00
2458535.250 +1.82571707e+09 -5.84138536e+09 -2.28957719e+09 +5.46624432e+00 -1.20911444e+01 -4.68812152e+00
2458535.500 +1.82583515e+09 -5.84164653e+09 -2.28967845e+09 +5.46622552e+00 -1.20910843e+01 -4.68809795e+00
2458535.750 +1.82595322e+09 -5.84190769e+09 -2.28977972e+09 +5.46620673e+00 -1.20910242e+01 -4.68807439e+00
2458536.000 +1.82607129e+09 -5.84216886e+09 -2.28988098e+09 +5.46618794e+00 -1.20909641e+01 -4.68805083e+00
2458536.250 +1.82618935e+09 -5.84243002e+09 -2.28998224e+09 +5.46616915e+00 -1.20909040e+01 -4.68802727e+00
2458536.500 +1.82630742e+09 -5.84269118e+09 -2.29008350e+09 +5.46615036e+00 -1.20908439e+01 -4.68800372e+00
